N_features,Depth,Learning_rate,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
33,5,0.1,900,-1.922572877,-1.937820751,11.72412793,11.88145766
30,6,0.1,500,-1.91226607,-1.938868117,11.68278138,11.88569353
31,5,0.1,900,-1.92073308,-1.940071209,11.71674744,11.89055921
16,6,0.1,900,-1.899897967,-1.941026953,11.63316577,11.89442453
26,6,0.1,500,-1.917683307,-1.942857009,11.70451305,11.90182584
27,6,0.1,500,-1.916646138,-1.943796331,11.70035236,11.90562475
24,7,0.1,300,-1.912699772,-1.945900541,11.6845212,11.91413483
40,6,0.1,400,-1.920471022,-1.946110122,11.71569618,11.91498244
15,7,0.1,500,-1.896175004,-1.946267199,11.61823082,11.91561771
37,5,0.1,900,-1.918559413,-1.946911899,11.70802761,11.91822508
38,6,0.1,400,-1.909253405,-1.947167876,11.67069584,11.91926033
33,6,0.1,500,-1.906841951,-1.948235611,11.6610221,11.92357858
12,7,0.1,700,-1.889977758,-1.94875656,11.59337008,11.92568546
35,5,0.1,900,-1.921286775,-1.949900116,11.71896863,11.93031035
38,5,0.1,800,-1.933981428,-1.951859567,11.76989422,11.93823498
28,6,0.1,500,-1.915381452,-1.953553546,11.69527897,11.94508596
16,6,0.1,800,-1.916458891,-1.953836183,11.69960121,11.94622903
15,6,0.1,900,-1.912721389,-1.953998076,11.68460793,11.94688377
14,7,0.1,500,-1.916614885,-1.954533241,11.70022698,11.94904815
40,5,0.1,800,-1.936742073,-1.954778661,11.78096876,11.9500407
36,6,0.1,400,-1.922565235,-1.955218611,11.72409728,11.95181999
19,6,0.1,700,-1.917393951,-1.95539827,11.70335227,11.95254659
21,6,0.1,600,-1.919739463,-1.955457518,11.71276147,11.95278621
34,5,0.1,900,-1.927833795,-1.955608214,11.74523251,11.95339567
37,5,0.1,800,-1.936891069,-1.955964766,11.78156647,11.95483768
33,6,0.1,400,-1.92952793,-1.956806756,11.75202867,11.95824295
38,5,0.1,900,-1.929098925,-1.956991578,11.75030768,11.95899042
17,6,0.1,800,-1.917570802,-1.957007217,11.70406172,11.95905367
36,5,0.1,900,-1.928122223,-1.958241839,11.74638957,11.96404687
31,5,0.1,800,-1.948316568,-1.958456576,11.82740075,11.96491533
18,6,0.1,800,-1.911546889,-1.958667856,11.67989633,11.96576981
